Date,Close,High,Low,Open,Volume,Year,Month,Day,Daily_Return,Price_Change,Days,PolyTrend,LoessTrend,Close_Diff
2019-05-31,-0.26604730929541265,-0.24140041422088318,-0.2804507231290784,-0.21985923389240805,0.027945816706153783,2019,5,31,0.4533700693830412,-0.6667536693026647,16,-0.7639932402457577,-0.1374463903122878,0.039069216131756845
2019-06-03,-0.21224712143812802,-0.22363855739819663,-0.22687146699228644,-0.24578258828943533,-0.5340197846760352,2019,6,3,0.6242773637845844,0.5024809579843167,19,-0.7567939773461811,-0.13450478603925736,0.05380018785728463
2019-06-04,-0.1161753745629319,-0.15829984875027017,-0.19717706435463347,-0.12983031519095795,0.046860943239163184,2019,6,4,1.1118287470621337,0.20594829369517278,20,-0.7544091680399785,-0.1316430699844217,0.09607174687519612
2019-06-05,0.027932245749862313,0.018050706411446526,-0.08098139244148757,-0.11003687668468991,0.4874055569353224,2019,6,5,1.6210160973075114,2.0264250391369036,21,-0.7520318149107477,-0.12885925045332405,0.1441076203127942
2019-06-06,0.022808302042320636,0.023759909066973613,0.0339231862108235,0.025964339574335346,-0.5511735836371449,2019,6,6,-0.08200054070851166,-0.04741713954034796,22,-0.7496619081665751,-0.1261511082613762,-0.005123943707541677
2019-06-07,-0.025867942107422312,0.018684954633197432,0.02424035728980499,0.02085619839253404,-0.8701695772145279,2019,6,7,-0.5559180387075178,-0.6855182942105457,23,-0.7472994380155469,-0.12351681530227995,-0.04867624414974295
2019-06-10,-0.12514203186877312,-0.04982523744701437,-0.07904487584680578,-0.03660892916739611,-0.9583210440980086,2019,6,10,-1.1249744787272533,-1.2954725115189218,26,-0.740256549202192,-0.12095503016926298,-0.09927408976135081
2019-06-11,-0.13538967526161924,-0.1094545004815285,-0.1261686663249549,-0.08768912399861076,-1.1730583577793214,2019,6,11,-0.1438858983503292,-0.6949041913100606,27,-0.7379237275046044,-0.11846463651411893,-0.010247643392846117
2019-06-12,-0.15332323389553895,-0.17288997981714055,-0.13197846270214122,-0.13238438546260728,-1.4393591742901604,2019,6,12,-0.23281160329637976,-0.3007825727758687,28,-0.7355982934405929,-0.11604422798544867,-0.01793355863391971
2019-06-13,-0.01626067006719897,-0.06504985905916648,-0.061615488006309616,-0.09854380213567046,-1.0808311618768072,2019,6,13,1.5620303989427495,1.210027695415549,29,-0.7332802372182434,-0.11369182419070473,0.13706256382833998
2019-06-14,-0.0854324450248714,-0.03650384451282225,-0.04160391428967515,0.010001763525133487,-1.2745516682992206,2019,6,14,-0.7892548963321151,-1.3986958623562566,30,-0.7309695490456425,-0.11140476903806303,-0.06917177495767243
2019-06-17,-0.05020618651365136,-0.0822408676155694,-0.05322350575298501,-0.08385826154154459,-1.3889613810130508,2019,6,17,0.37186412626355086,0.49685013665372135,33,-0.7240815949071934,-0.10918010720084012,0.03522625851122005
2019-06-18,-0.045082242806109674,-0.030794641857295163,-0.00028991954318094345,-0.018730921889661165,-1.3246346349088893,2019,6,18,0.030841718401413067,-0.38523413879805657,34,-0.7218002810144493,-0.10701434920686874,0.005123943707541684
2019-06-19,0.018965588444021082,0.007901039233070598,0.012620765180963753,-0.008514883434220346,-1.0678466890520784,2019,6,19,0.6872805867379082,0.40301268291590164,35,-0.719526286211885,-0.10490340224378829,0.06404783125013075
2019-06-20,-0.045082242806109674,-0.005420353066767129,-0.01578279078899532,0.02787977080286843,-1.13286265029307,2019,6,20,-0.724082015817524,-1.070257600290797,36,-0.7172596007075869,-0.10284255190490584,-0.06404783125013075
2019-06-21,-0.03611558550026844,-0.0783712513590042,-0.024174526449178987,-0.04746360794295846,-1.5237071946777998,2019,6,21,0.07355376894513344,0.1684154592338363,37,-0.7150002147096413,-0.1008265971456634,0.00896665730584123
2019-06-24,-0.09439910233071264,-0.08281171588185304,-0.060324395391006154,-0.037885964622472096,-1.4376744261779086,2019,6,24,-0.673696494262735,-0.8262780641547913,40,-0.7082657558347822,-0.0988496179157001,-0.05828351683044419
2019-06-25,-0.09439910233071264,-0.10057357207018522,-0.08466087260863953,-0.08385826154154459,-1.457397891451645,2019,6,25,-0.026354741721657332,-0.15063691511599128,41,-0.7060354699431094,-0.09690502155023498,0.0
2019-06-26,-0.13218733237546457,-0.12531337031543152,-0.09001879802865913,-0.08577369277007767,-1.2569469014090737,2019,6,26,-0.45492359148351935,-0.6761359817566052,42,-0.7038124345982205,-0.0949858348046778,-0.03778823004475193
2019-06-27,0.03625853234355867,-0.004786104845016222,-0.03579411855802022,-0.07938876004136218,-0.23197337816736768,2019,6,27,1.9105665363333235,1.6979903617170182,43,-0.7015966400082019,-0.09308639327286694,0.16844586471902323
2019-06-28,0.11631832140622211,0.10812921267026486,0.08556592575293366,0.03234927230305085,0.4914387418101071,2019,6,28,0.8405864614539652,1.2287959143528877,44,-0.6993880763811396,-0.09120703510057351,0.08005978906266345
